ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"lark","160-2240","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2241","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2242","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2311","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2312","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2313","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2314","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2315","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2316","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2317","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","160-2318","Rent","Rent","Rent",,,3025.00,08/01/2016,3025.00,08/23/2016,,,
"lark","190-2209","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2210","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2211","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2212","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2213","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2214","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2215","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2216","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2217","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2218","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2219","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","190-2220","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0263","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0264","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0265","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0266","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0267","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0268","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0269","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0270","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0271","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0272","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0273","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","230-0274","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","270-0281","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","270-0282","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
"lark","270-0283","Rent","Rent","Rent",,,3650.00,08/01/2016,3650.00,08/23/2016,,,
