CommUnits
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
"cove",,,"016-CAPT","Residential","us",,,,,,12/12/2014,"16 Captains Landing",,,,"Tiburon","CA","94920",6020.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"016-CHAN","Residential","us",,,,,,07/09/2016,"16 Channel Landing",,,,"Tiburon","CA","94920",4900.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"016-GNWD","Residential","us",,,,,,10/14/2014,"16 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4825.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"016-SALT","Residential","us",,,,,,11/17/2015,"16 Salt Landing",,,,"Tiburon","CA","94920",5125.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"016-SEAD","Residential","us",,,,,,08/04/2014,"16 Seadrift Landing",,,,"Tiburon","CA","94920",4845.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"023-BARB","Residential","us",,,,,,06/26/2016,"23 Barbaree Way",,,,"Tiburon","CA","94920",3595.00,700.000000,1,0,"1x1-e",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"023-CAPT","Residential","us",,,,,,08/28/2015,"23 Captains Landing",,,,"Tiburon","CA","94920",5870.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"023-CHAN","Residential","us",,,,,,09/28/2015,"23 Channel Landing",,,,"Tiburon","CA","94920",5050.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"023-GNWD","Residential","us",,,,,,09/30/2015,"23 Greenwood Cove Drive",,,,"Tiburon","CA","94920",3200.00,640.000000,-1,0,"1x1-c",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"023-SALT","Residential","us",,,,,,12/14/2015,"23 Salt Landing",,,,"Tiburon","CA","94920",3070.00,595.000000,1,0,"1x1-a",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"023-SEAD","Residential","us",,,,,,07/19/2015,"23 Seadrift Landing",,,,"Tiburon","CA","94920",3095.00,595.000000,1,0,"1x1-a",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"024-BARB","Residential","us",,,,,,08/14/2016,"24 Barbaree Way",,,,"Tiburon","CA","94920",3545.00,700.000000,0,0,"1x1-e",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"024-CHAN","Residential","us",,,,,,04/18/2016,"24 Channel Landing",,,,"Tiburon","CA","94920",5050.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"024-GNWD","Residential","us",,,,,,03/22/2016,"24 Greenwood Cove Drive",,,,"Tiburon","CA","94920",3250.00,640.000000,1,0,"1x1-c",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
